,highest_offense_description,year,count
0,ABUSE OF OFFICIAL CAPACITY,2003,1
1,AGG ASLT W/MOTOR VEH FAM/DAT V,2003,9
2,AGG ASSAULT,2003,327
3,AGG ASSAULT FAM/DATE VIOLENCE,2003,258
4,AGG ASSAULT ON PUBLIC SERVANT,2003,15
5,AGG ASSAULT WITH MOTOR VEH,2003,47
6,AGG FORCED SODOMY,2003,2
7,AGG FORCED SODOMY OF CHILD,2003,32
8,AGG KIDNAPPING,2003,2
9,AGG PERJURY,2003,1
10,AGG PROMOTION OF PROSTITUTION,2003,7
11,AGG RAPE,2003,6
12,AGG RAPE OF A CHILD,2003,22
13,AGG ROBBERY BY ASSAULT,2003,19
14,AGG ROBBERY/DEADLY WEAPON,2003,234
15,AGG SEXUAL ASSAULT CHILD/OBJEC,2003,37
16,AGG SEXUAL ASSAULT W OBJECT,2003,11
17,AMPLIFIED MUSIC / VEHICLE,2003,4
18,APPLIC TO REVOKE PROBATION,2003,25
19,ARSON,2003,68
20,ARSON WITH BODILY INJURY,2003,1
21,ASSAULT BY CONTACT,2003,549
22,ASSAULT BY CONTACT FAM/DATING,2003,350
23,ASSAULT BY THREAT,2003,451
24,ASSAULT BY THREAT FAM/DATING,2003,113
25,ASSAULT ON PUBLIC SERVANT,2003,41
26,ASSAULT W/INJURY-FAM/DATE VIOL,2003,2590
27,ASSAULT WITH INJURY,2003,1237
28,ATT AUTO THEFT,2003,95
29,ATT BURGLARY NON RESIDENCE,2003,45
30,ATT BURGLARY OF RESIDENCE,2003,174
31,ATT THEFT,2003,42
32,AUTO THEFT,2003,1122
33,BANK KITING,2003,1
34,BOMB THREAT,2003,19
35,BREACH OF COMPUTER SECURITY,2003,3
36,BURG OF RES - FAM/DATING ASLT,2003,35
37,BURGLARY NON RESIDENCE,2003,1013
38,BURGLARY OF COIN-OP MACHINE,2003,111
39,BURGLARY OF RESIDENCE,2003,2731
40,BURGLARY OF VEHICLE,2003,7567
41,CAMPING IN PARK,2003,97
42,CAPITAL MURDER,2003,3
43,CHILD CUSTODY INTERFERE,2003,35
44,CHILD ENDANGERMENT- ABANDONMEN,2003,79
45,CIVIL DISTURBANCE/DEMO,2003,18
46,COMPELLING PROSTITUTION,2003,1
47,CONTRIBUTE DELINQUENCY MINOR,2003,4
48,CONTROLLED SUB VIOL - OTHER,2003,1
49,COUNTERFEITING,2003,90
50,CRASH/FAIL STOP AND RENDER AID,2003,60
51,CRASH/INTOX MANSLAUGHTER,2003,1
52,CRASH/INTOXICATION ASSAULT,2003,5
53,CRASH/MANSLAUGHTER,2003,1
54,CRED CARD ABUSE - OTHER,2003,84
55,CRED CARD ABUSE BY FORGERY,2003,195
56,CRIM NEG HOMICIDE/NON TRAFFIC,2003,2
57,CRIMES AGAINST ELDERLY,2003,3
58,CRIMINAL MISCHIEF,2003,4282
59,CRIMINAL MISCHIEF BY ARSON,2003,8
60,CRIMINAL SOLICITATION OF MINOR,2003,1
61,CRIMINAL TRESPASS,2003,899
62,CRIMINAL TRESPASS/HOTEL,2003,34
63,CRIMINAL TRESPASS/TRANSIENT,2003,225
64,CRUELTY TO ANIMALS,2003,180
65,CUSTODY ARREST TRAFFIC WARR,2003,2480
66,DAMAGE CITY PROP,2003,174
67,DANG DRUG VIOL - OTHER,2003,5
68,DATING DISTURBANCE,2003,61
69,DEADLY CONDUCT,2003,55
70,DEADLY CONDUCT FAM/DATE VIOL,2003,4
71,DEBIT CARD ABUSE,2003,36
72,DEL CONTROLLED SUB/NARCOTIC,2003,174
73,DEL CONTROLLED SUB/OTHER,2003,6
74,DEL CONTROLLED SUB/SYN NARC,2003,1
75,DEL MARIJUANA,2003,4
76,DEL OF ALCOHOL TO MINOR,2003,13
77,DEPENDENT AND NEGLECTED CHILD,2003,6
78,DISPOSAL OF SOLID WASTE,2003,3
79,DISTRIB HARMFUL MATERIAL MINOR,2003,1
80,DISTURBANCE - OTHER,2003,1428
81,DOC ABUSE OR THREAT,2003,3
82,DOC ABUSIVE LANGUAGE,2003,31
83,DOC CREATING NOXIOUS ODOR,2003,1
84,DOC DISCHARGE GUN - PUB PLACE,2003,5
85,DOC DISCHARGE GUN - PUB ROAD,2003,1
86,DOC DISPLAY GUN/DEADLY PUB PLC,2003,32
87,DOC EXPOSURE,2003,41
88,DOC FIGHTING,2003,63
89,DOC OFFENSIVE GESTURE,2003,23
90,DOC UNREASONABLE NOISE,2003,104
91,DOC WINDOW PEEPING - HOTEL,2003,1
92,DOC WINDOW PEEPING-RESIDENCE,2003,51
93,DOMESTIC VIOLENCE/ALARM,2003,4
94,DUI - AGE 16 AND UNDER,2003,3
95,DUI - AGE 17 TO 20,2003,68
96,DUMPING REFUSE NEAR HIGHWAY,2003,63
97,DWI,2003,2094
98,DWI - CHILD PASSENGER,2003,1
99,DWI - DRUG RECOGNITION EXPERT,2003,1
100,DWI 2ND,2003,181
101,ENTICING A CHILD,2003,6
102,ESCAPE FROM CUSTODY,2003,6
103,EVADING / FOOT,2003,88
104,EVADING / VEHICLE PURSUIT,2003,45
105,EVADING VEHICLE,2003,1
106,EXPIRED-ATT AGG ROBBERY/WEAP,2003,15
107,EXPIRED-ATT AGG SEXUAL ASSAULT,2003,3
108,EXPIRED-ATT CAPITAL MURDER,2003,1
109,EXPIRED-ATT FORCED SODOMY,2003,1
110,EXPIRED-ATT KIDNAPPING,2003,5
111,EXPIRED-ATT MURDER,2003,2
112,EXPIRED-ATT OB DANG DRUG FRAUD,2003,1
113,EXPIRED-ATT OBT CONT SUB FRAUD,2003,13
114,EXPIRED-ATT RAPE,2003,1
115,EXPIRED-ATT RAPE OF A CHILD,2003,2
116,EXPIRED-ATT ROBBERY BY ASSAULT,2003,7
117,EXPIRED-ATT SEXUAL ASSAULT,2003,22
118,EXPIRED-ATT SEXUAL ASULT CHILD,2003,3
119,EXPIRED-ATT/TAKE WEAP FROM OFF,2003,1
120,EXPIRED-ATTAGGFORCESODOMYCHILD,2003,1
121,EXPIRED-EVADING ARREST,2003,20
122,EXPIRED-INJURY CHILD - ELDERLY,2003,16
123,EXPIREDATT AGG SEX ASSLT CHILD,2003,2
124,EXPLOSIVE ORDNANCE DISPOSAL,2003,35
125,FAILURE TO IDENTIFY,2003,418
126,FAILURE TO REG AS SEX OFFENDER,2003,82
127,FALSE ALARM OR REPORT,2003,12
128,FALSE REPORT TO PEACE OFFICER,2003,27
129,FALSE STATEMENT -OBTAIN CREDIT,2003,85
130,FAMILY DISTURBANCE,2003,4320
131,FAMILY DISTURBANCE/PARENTAL,2003,309
132,FEDERAL VIOL/OTHER,2003,21
133,FELONY ENHANCEMENT/ASSLT W/INJ,2003,111
134,FORCED SODOMY,2003,10
135,FORCED SODOMY OF CHILD,2003,2
136,FORGERY - OTHER,2003,125
137,FORGERY AND PASSING,2003,439
138,FORGERY BY ALTERATION,2003,17
139,FORGERY BY MAKING,2003,21
140,FORGERY OF IDENTIFICATION,2003,10
141,FORGERY- CERTIFICATE OF TITLE,2003,2
