,location_type,count
0,RESIDENCE / HOME,508667
1,STREETS / HWY / ROAD / ALLEY,227327
2,PARKING LOTS / GARAGE,104159
3,COMMERCIAL / OFFICE BUILDING,61327
4,OTHER / UNKNOWN,29829
5,RESTAURANTS,12758
6,HOTEL / MOTEL / ETC.,12615
7,BAR / NIGHT CLUB,9381
8,GOVERNMENT / PUBLIC BUILDING,9314
9,CONVENIENCE STORE,9120
10,,8776
11,DEPARTMENT / DISCOUNT STORE,8091
12,DRUG STORE / DR. OFFICE / HOSPITAL,5088
13,SPECIALTY  STORE (TV  FUR ETC.),5087
14,GAS / SERVICE STATIONS,4764
15,CONSTRUCTION SITE,3973
16,GROCERY / SUPERMARKET,3810
17,BANKS / SAVINGS & LOAN,3447
18,SCHOOLS / COLLEGES,3193
19,FIELD / WOODS,3133
20,TRANSPORTATION (AIR / BUS / TRAIN - TERMINALS),2899
21,CHURCH / SYNAGOGUE / TEMPLE / MOSQUE,2692
22,PARK / PLAYGROUND,2566
23,RENTAL STORAGE FACILITY,1536
24,LIQUOR STORE,876
25,AUTO DEALERSHIP NEW / USED,648
26,SCHOOL - ELEMENTARY / SECONDARY,512
27,ABANDONED/CONDEMNED STRUCTURE,493
28,LAKE / WATERWAY,452
29,SCHOOL - COLLEGE / UNIVERSITY,433
30,SHOPPING MALL,344
31,JAIL / PRISON,204
32,DAYCARE FACILITY,202
33,COMMUNITY CENTER,180
34,INDUSTRIAL SITE,130
35,SHELTER-MISSION / HOMELESS,110
36,ATM SEPARATE FROM BANK,91
37,GAMBLING FACILITY / CASINO / RACE TRACK,86
38,CAMP / CAMPGROUND,80
39,ARENA / STADIUM / FAIRGROUNDS / COLISEUM,45
40,DOCK / WHARF / FREIGHT / MODAL TERMINAL,38
41,REST AREA,31
42,AMUSEMENT PARK,28
43,MILITARY INSTALLATION,7
44,CYBERSPACE,7
45,TRIBAL LANDS,6
46,FARM FACILITY,6
