,highest_offense_description,location_type,count
0,ABANDONED REFRIGERATOR,RESIDENCE / HOME,3
1,ABUSE OF 911,DRUG STORE / DR. OFFICE / HOSPITAL,1
2,ABUSE OF 911,HOTEL / MOTEL / ETC.,1
3,ABUSE OF 911,OTHER / UNKNOWN,1
4,ABUSE OF 911,PARKING LOTS / GARAGE,1
5,ABUSE OF 911,RESIDENCE / HOME,19
6,ABUSE OF 911,RESTAURANTS,1
7,ABUSE OF 911,STREETS / HWY / ROAD / ALLEY,3
8,ABUSE OF CORPSE,RESIDENCE / HOME,1
9,ABUSE OF OFFICIAL CAPACITY,,4
10,ABUSE OF OFFICIAL CAPACITY,BANKS / SAVINGS & LOAN,1
11,ABUSE OF OFFICIAL CAPACITY,COMMERCIAL / OFFICE BUILDING,2
12,ABUSE OF OFFICIAL CAPACITY,GOVERNMENT / PUBLIC BUILDING,5
13,ABUSE OF OFFICIAL CAPACITY,OTHER / UNKNOWN,1
14,ABUSE OF OFFICIAL CAPACITY,RESIDENCE / HOME,2
15,AGG ASLT ENHANC STRANGL/SUFFOC,,2
16,AGG ASLT ENHANC STRANGL/SUFFOC,DRUG STORE / DR. OFFICE / HOSPITAL,1
17,AGG ASLT ENHANC STRANGL/SUFFOC,FIELD / WOODS,3
18,AGG ASLT ENHANC STRANGL/SUFFOC,HOTEL / MOTEL / ETC.,20
19,AGG ASLT ENHANC STRANGL/SUFFOC,OTHER / UNKNOWN,2
20,AGG ASLT ENHANC STRANGL/SUFFOC,PARK / PLAYGROUND,1
21,AGG ASLT ENHANC STRANGL/SUFFOC,PARKING LOTS / GARAGE,23
22,AGG ASLT ENHANC STRANGL/SUFFOC,RESIDENCE / HOME,430
23,AGG ASLT ENHANC STRANGL/SUFFOC,STREETS / HWY / ROAD / ALLEY,25
24,AGG ASLT STRANGLE/SUFFOCATE,,1
25,AGG ASLT STRANGLE/SUFFOCATE,ABANDONED/CONDEMNED STRUCTURE,1
26,AGG ASLT STRANGLE/SUFFOCATE,BAR / NIGHT CLUB,8
